"sow" "lactime" "treat" "fat" "protein" "dm" "lactose"
699 "t1" "d" 6.16 6.65 18.55 5.06
699 "t2" "d" 6.32 5.22 17.66 5.73
699 "t4" "d" 7.95 5.03 19.39 6.03
704 "t1" "c" 4.06 5.44 18.32 5.23
704 "t2" "c" 7.43 5.1 18.51 5.4
704 "t3" "c" 6.6 5.07 17.63 5.56
704 "t4" "c" 7.88 5.09 19.19 5.76
708 "t1" "f" 9.25 5.67 20.68 5.15
708 "t2" "f" 7.31 4.72 18.17 5.8
708 "t3" "f" 7 4.96 18.09 5.82
708 "t4" "f" 6.54 4.9 17.85 6.06
728 "t1" "b" 5.82 5.62 17.57 5.74
728 "t2" "b" 6.73 4.92 17.87 5.86
728 "t3" "b" 4.94 5.26 16.63 6.19
728 "t4" "b" 5.24 5.17 16.83 6.16
742 "t1" "a" 4.98 5.37 16.38 5.55
742 "t2" "a" 8.49 4.7 19.55 5.99
742 "t3" "a" 9.86 4.76 21 5.96
742 "t4" "a" 5.79 4.8 17.11 6.19
743 "t1" "b" 9.06 5.08 20.21 5.29
743 "t2" "b" 9.68 4.89 20.83 5.76
743 "t3" "b" 6.42 5.01 17.88 6.03
743 "t4" "b" 8.74 4.86 19.9 5.82
750 "t1" "e" 5.11 5.16 16.32 5.53
750 "t2" "e" 7.11 4.86 18.28 5.97
750 "t3" "e" 6.05 5 17.49 6.05
750 "t4" "e" 10.4 5.83 22.48 5.65
762 "t1" "a" 7 5.33 18.82 5.45
762 "t2" "a" 4.67 4.26 15.45 5.68
762 "t3" "a" 5.79 4.82 16.82 5.81
762 "t4" "a" 4.61 5.38 16.08 5.84
764 "t1" "f" 6.9 5.73 18.81 5.02
764 "t2" "f" 6.1 4.97 17.77 5.77
764 "t3" "f" 6.92 4.77 18.44 5.85
764 "t4" "f" 6.09 4.69 17.53 5.85
766 "t1" "f" 7.77 5.38 19.51 5.27
766 "t2" "f" 7.01 4.28 17.88 5.73
766 "t3" "f" 6.51 4.47 17.69 5.87
766 "t4" "f" 7.26 4.49 18.51 5.89
767 "t1" "a" 5.96 5.57 17.71 5.62
767 "t2" "a" 6.38 5.08 17.84 5.99
767 "t3" "a" 6.32 5 17.89 6.14
767 "t4" "a" 7.43 5.37 19.24 6.03
773 "t1" "e" 8.17 4.85 19.48 5.47
773 "t1" "c" 8.32 5.41 19.85 5.35
773 "t2" "e" 8.59 4.18 19.4 5.8
773 "t2" "c" 6.35 4.56 17.4 6.12
773 "t3" "e" 8.47 4.09 19.32 5.97
773 "t3" "c" 7.16 4.7 18.37 6.17
773 "t4" "e" 7.1 4.44 18.41 6.04
773 "t4" "c" 7.39 4.7 18.59 6.21
774 "t1" "g" 7.42 6.01 19.47 5.26
774 "t2" "g" 7.96 4.67 18.93 5.96
774 "t3" "g" 6.03 4.79 17.25 6.05
774 "t4" "g" 6.9 5.11 18.47 6.04
775 "t1" "e" 7.16 4.85 18.31 5.3
775 "t2" "e" 7.83 4.5 18.93 5.71
775 "t3" "e" 8.42 4.76 19.85 5.74
775 "t4" "e" 8.25 5.36 19.68 5.65
778 "t1" "d" 8.33 5.98 20.85 5.42
778 "t2" "d" 6.28 4.56 17.59 5.91
778 "t3" "d" 6.61 4.5 17.92 5.98
778 "t4" "d" 7.09 5.25 18.44 5.68
779 "t3" "d" 5.4 6.43 16.39 3.64
779 "t1" "d" 5.97 5.34 17.29 5.42
779 "t2" "d" 6.18 5.16 17.25 5.29
784 "t1" "a" 9.22 5.73 21.52 5.47
784 "t1" "a" 8.74 5.97 20.85 5.31
784 "t2" "a" 6.67 4.13 17.45 5.9
784 "t2" "a" 5.95 5.07 17.25 5.83
784 "t3" "a" 5.47 4.38 16.69 6.01
784 "t3" "a" 4.48 5.06 16.01 6.25
784 "t4" "a" 6.33 4.92 17.59 6.05
784 "t4" "a" 4.48 4.67 15.61 6.29
788 "t1" "b" 9.52 4.99 20.57 5.28
788 "t2" "b" 9 5.23 20.17 5.2
788 "t3" "b" 8.65 5.37 20.42 5.78
788 "t4" "b" 5.59 4.98 17.15 6.24
791 "t1" "e" 5.45 5.07 16.78 5.25
791 "t2" "e" 7.02 4.46 18.17 5.83
791 "t3" "e" 7.31 4.36 18.39 5.88
791 "t4" "e" 10.26 5.03 21.48 5.57
797 "t1" "g" 6.92 5.4 18.36 5.54
797 "t2" "g" 7.27 4.71 18.11 5.83
797 "t3" "g" 6.14 4.79 17.3 6.02
797 "t4" "g" 6.31 4.95 17.48 5.79
798 "t1" "c" 5.22 5.31 16.56 5.55
798 "t2" "c" 5.45 4.73 16.21 5.63
798 "t3" "c" 5.14 5.02 16.46 6.05
798 "t4" "c" 6.92 5.4 18.59 5.91
800 "t1" "a" 4.91 4.92 16.4 5.64
800 "t2" "a" 5.94 4.49 16.77 6.07
800 "t3" "a" 6.27 4.56 17.12 6.06
800 "t4" "a" 5.2 4.98 16.52 6.22
804 "t1" "g" 5.92 5.25 17.13 5.63
804 "t1" "d" 5.37 5.06 16.53 5.76
804 "t2" "g" 6.91 4.86 17.79 5.73
804 "t2" "d" 5.76 4.87 16.92 6.02
804 "t3" "g" 5.5 5.25 16.94 5.99
804 "t3" "d" 5.38 4.96 16.69 6.15
804 "t4" "g" 5.72 4.93 16.88 6.06
804 "t4" "d" 6.17 5.19 17.73 6.11
807 "t1" "g" 8.49 6.15 20.58 5.23
807 "t2" "g" 6.5 5.23 17.74 5.63
807 "t3" "g" 5.26 4.82 16.27 5.98
807 "t4" "g" 5.55 5.02 16.76 6
808 "t1" "g" 5.8 5.24 17.1 5.54
808 "t2" "g" 6.11 4.45 16.85 5.87
808 "t3" "g" 6.91 4.71 17.97 5.91
808 "t4" "g" 6.36 5.02 17.77 6.03
811 "t1" "c" 8.07 5.24 19.57 5.65
811 "t2" "c" 8.52 5 19.83 5.77
811 "t3" "c" 7.75 5.25 19.33 5.9
811 "t4" "c" 6.99 5.31 18.67 6.02
812 "t1" "c" 6.46 5.74 18.45 5.72
812 "t1" "g" 8.61 5.49 20.32 5.63
812 "t2" "c" 5.68 5.13 17.2 5.98
812 "t2" "g" 4.56 5.29 16.05 5.98
812 "t3" "c" 8.35 5.36 20.09 5.8
812 "t3" "g" 5.27 5.55 16.98 5.91
812 "t4" "c" 5.93 5.06 17.42 6.12
812 "t4" "g" 5.12 5.7 16.93 5.84
813 "t1" "c" 8.77 5.64 20.31 5.22
813 "t2" "c" 7.54 5.08 18.47 5.41
813 "t3" "c" 8.2 4.86 19.31 5.77
813 "t4" "c" 6.96 4.96 18.18 5.79
814 "t1" "b" 7.59 5.13 18.8 5.52
814 "t2" "b" 6.6 4.9 17.71 5.81
814 "t3" "b" 5.68 4.89 16.96 6.12
814 "t4" "b" 6.41 5.13 17.76 5.86
817 "t1" "e" 10.19 5.13 21.42 5.67
817 "t2" "b" 8.22 5.05 19.55 5.67
817 "t2" "e" 9.1 5.26 20.62 5.84
817 "t3" "b" 7.81 4.91 19.14 5.96
817 "t3" "e" 6.37 5.42 18.14 6.1
817 "t4" "b" 7 5.35 18.93 6.1
817 "t4" "e" 5.44 5.36 17.2 6.17
817 "t1" "b" 8.15 5.29 19.56 5.44
818 "t3" "f" 6.31 4.81 17.4 5.92
818 "t4" "f" 6.79 5.14 18.29 5.97
818 "t1" "f" 6.43 4.79 17.18 5.59
818 "t2" "f" 6.77 4.69 17.74 5.84
824 "t4" "e" 6.83 5.33 18.32 5.83
826 "t1" "b" 8.96 4.96 19.95 5.61
826 "t2" "b" 7.13 4.5 17.75 5.77
826 "t3" "b" 6.17 4.84 17.21 5.94
826 "t4" "b" 5.79 5 17.15 6.03
827 "t1" "f" 8.58 4.89 18.54 5.58
827 "t1" "f" 7.71 5.29 19.06 5.46
827 "t2" "f" 6.09 4.72 16.95 5.84
827 "t2" "f" 5.21 4.72 16.29 6.15
827 "t3" "f" 7.14 5.02 18.35 5.87
827 "t3" "f" 5.3 4.55 16.08 6.1
827 "t4" "f" 6.59 4.99 17.71 5.73
827 "t4" "f" 4.09 4.84 15.19 6.16
830 "t1" "d" 11.14 6.21 23.32 4.91
830 "t2" "d" 9.21 5.46 20.73 5.18
830 "t3" "d" 8.62 5.32 20.13 5.48
830 "t4" "d" 6.7 5.42 18.25 5.67
831 "t1" "a" 6.13 5.71 17.85 5.59
831 "t2" "a" 6.49 4.93 17.44 5.67
831 "t3" "a" 5.45 5.04 16.76 5.98
831 "t4" "a" 5.98 5.17 17.2 5.73
837 "t1" "b" 7.47 5.69 19.24 5.5
837 "t2" "b" 8.22 5.09 19.57 5.82
837 "t3" "b" 8.4 4.99 19.67 5.84
837 "t4" "b" 8.13 5.03 19.55 5.94
839 "t1" "a" 6.19 5.3 17.38 5.3
839 "t2" "a" 4.79 4.69 15.81 6.1
839 "t3" "a" 4.61 4.71 15.74 6.22
839 "t4" "a" 4.81 5 15.94 5.87
844 "t1" "g" 7.87 5.53 19.46 5.48
844 "t2" "g" 7.09 5.31 18.59 5.75
844 "t3" "g" 8.23 5.33 19.87 5.84
845 "t1" "d" 6.13 5.38 17.67 5.58
845 "t2" "d" 5.81 4.42 16.52 5.94
845 "t3" "d" 6.46 4.47 17.32 6.08
845 "t4" "d" 5.84 4.78 17.04 6.06
847 "t1" "g" 4.76 5.57 15.98 5.01
847 "t2" "g" 5.68 4.46 16.01 5.36
847 "t3" "g" 5.99 4.8 17.1 5.88
853 "t1" "c" 6.83 5 18.12 5.73
853 "t2" "c" 5.45 5.39 16.97 5.6
853 "t3" "c" 7.28 4.87 18.52 5.82
853 "t4" "c" 6.48 5.48 18.35 5.9
858 "t1" "c" 8.69 6.02 20.62 5.29
858 "t1" "f" 5.99 5.32 17.35 5.61
858 "t2" "c" 6.43 5.03 17.48 5.69
858 "t2" "f" 6.09 4.55 16.82 5.87
858 "t3" "c" 6.58 5.23 17.96 5.88
858 "t3" "f" 6.34 4.54 17.14 6.05
858 "t4" "c" 7.95 5.04 19.13 5.82
858 "t4" "f" 7 5.03 18.14 5.82
859 "t1" "d" 7.34 5.93 19.14 5.42
859 "t2" "d" 6.26 5.39 17.72 5.8
859 "t3" "d" 6.7 5.42 18.22 5.86
859 "t4" "d" 6.01 5.28 17.43 5.91
860 "t1" "d" 8.77 5.99 20.68 4.94
860 "t2" "d" 6.55 5.18 17.86 5.67
860 "t3" "d" 7.4 5.04 18.62 5.66
860 "t4" "d" 7.25 5.58 19.15 5.82
865 "t1" "e" 10.87 6.05 22.84 5.84
865 "t2" "e" 7.59 5.61 19.41 5.65
865 "t3" "e" 9.66 5.13 21.01 5.68
865 "t4" "e" 9.37 5.17 20.8 5.8
869 "t1" "b" 7.51 5.54 19.15 5.53
869 "t2" "b" 7.95 5.33 19.48 5.71
869 "t3" "b" 5.95 5.24 17.38 5.81
869 "t4" "b" 6.38 5.22 17.89 5.98
886 "t4" "e" 9.57 4.55 20.3 5.83
886 "t2" "e" 7.59 4.43 18.27 5.93
886 "t3" "e" 10.42 4.83 21.29 5.59
886 "t1" "e" 8.7 5.75 20.42 5.08
949 "t1" "e" 9.42 5.24 20.6 5.11
