"treat" "fat" "protein" "dm" "lactose"
"d" 6.16 6.65 18.55 5.06
"c" 4.06 5.44 18.32 5.23
"f" 9.25 5.67 20.68 5.15
"b" 5.82 5.62 17.57 5.74
"a" 4.98 5.37 16.38 5.55
"b" 9.06 5.08 20.21 5.29
"e" 5.11 5.16 16.32 5.53
"a" 7 5.33 18.82 5.45
"f" 6.9 5.73 18.81 5.02
"f" 7.77 5.38 19.51 5.27
"a" 5.96 5.57 17.71 5.62
"e" 8.17 4.85 19.48 5.47
"c" 8.32 5.41 19.85 5.35
"g" 7.42 6.01 19.47 5.26
"e" 7.16 4.85 18.31 5.3
"d" 8.33 5.98 20.85 5.42
"d" 5.97 5.34 17.29 5.42
"a" 9.22 5.73 21.52 5.47
"a" 8.74 5.97 20.85 5.31
"b" 9.52 4.99 20.57 5.28
"e" 5.45 5.07 16.78 5.25
"g" 6.92 5.4 18.36 5.54
"c" 5.22 5.31 16.56 5.55
"a" 4.91 4.92 16.4 5.64
"g" 5.92 5.25 17.13 5.63
"d" 5.37 5.06 16.53 5.76
"g" 8.49 6.15 20.58 5.23
"g" 5.8 5.24 17.1 5.54
"c" 8.07 5.24 19.57 5.65
"c" 6.46 5.74 18.45 5.72
"g" 8.61 5.49 20.32 5.63
"c" 8.77 5.64 20.31 5.22
"b" 7.59 5.13 18.8 5.52
"e" 10.19 5.13 21.42 5.67
"b" 8.15 5.29 19.56 5.44
"f" 6.43 4.79 17.18 5.59
"b" 8.96 4.96 19.95 5.61
"f" 8.58 4.89 18.54 5.58
"f" 7.71 5.29 19.06 5.46
"d" 11.14 6.21 23.32 4.91
"a" 6.13 5.71 17.85 5.59
"b" 7.47 5.69 19.24 5.5
"a" 6.19 5.3 17.38 5.3
"g" 7.87 5.53 19.46 5.48
"d" 6.13 5.38 17.67 5.58
"g" 4.76 5.57 15.98 5.01
"c" 6.83 5 18.12 5.73
"c" 8.69 6.02 20.62 5.29
"f" 5.99 5.32 17.35 5.61
"d" 7.34 5.93 19.14 5.42
"d" 8.77 5.99 20.68 4.94
"e" 10.87 6.05 22.84 5.84
"b" 7.51 5.54 19.15 5.53
"e" 8.7 5.75 20.42 5.08
"e" 9.42 5.24 20.6 5.11
